user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SRR8382462.bin.5.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__	N/A	N/A	N/A	N/A	N/A	GCF_000243235.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__Gillisia limnaea	87.79	0.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__	taxonomic classification defined by topology and ANI	N/A	GCF_007993795.1, s__Gillisia sp007993795, 95.0, 77.7, 0.33; GCF_007997295.1, s__Gillisia hiemivivida, 95.0, 77.69, 0.31; GCF_900104765.1, s__Gillisia sp900104765, 95.0, 77.48, 0.26; GCF_007827275.1, s__Gillisia sp007827275, 95.0, 77.47, 0.27; GCF_000258765.1, s__Gillisia marina, 95.0, 77.43, 0.26; GCA_002364325.1, s__Gillisia sp002364325, 95.0, 77.34, 0.22; GCF_003634585.1, s__Gillisia mitskevichiae, 95.0, 77.28, 0.27; GCF_000403785.1, s__Gillisia sp000403785, 95.0, 77.21, 0.29	43.06	11	0.9904711523474032	Genome has more than 12.5% of markers with multiple hits
SRR8382462.bin.6.fa	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__	taxonomic novelty determined using RED	N/A	N/A	32.26	11	0.8891868742280604	N/A
SRR8382462.bin.7.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__	ANI	N/A	GCF_000243235.1, s__Gillisia limnaea, 95.0, 79.96, 0.45; GCF_007997295.1, s__Gillisia hiemivivida, 95.0, 77.82, 0.28; GCF_900104765.1, s__Gillisia sp900104765, 95.0, 77.72, 0.23; GCF_007827275.1, s__Gillisia sp007827275, 95.0, 77.71, 0.27; GCF_000258765.1, s__Gillisia marina, 95.0, 77.69, 0.23; GCF_003634585.1, s__Gillisia mitskevichiae, 95.0, 77.59, 0.27; GCA_002364325.1, s__Gillisia sp002364325, 95.0, 77.55, 0.17; GCF_007993795.1, s__Gillisia sp007993795, 95.0, 77.44, 0.29; GCF_000403785.1, s__Gillisia sp000403785, 95.0, 77.0, 0.26	42.84	11	0.9570674222245116	N/A
SRR8382462.bin.8.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__	taxonomic classification defined by topology and ANI	N/A	GCF_007997295.1, s__Gillisia hiemivivida, 95.0, 83.75, 0.84; GCF_003634585.1, s__Gillisia mitskevichiae, 95.0, 83.54, 0.8; GCF_000258765.1, s__Gillisia marina, 95.0, 83.42, 0.77; GCF_000403785.1, s__Gillisia sp000403785, 95.0, 83.2, 0.78; GCF_007827275.1, s__Gillisia sp007827275, 95.0, 82.87, 0.79; GCA_002364325.1, s__Gillisia sp002364325, 95.0, 82.24, 0.59; GCF_900104765.1, s__Gillisia sp900104765, 95.0, 78.97, 0.41; GCF_000243235.1, s__Gillisia limnaea, 95.0, 78.25, 0.36; GCF_007993795.1, s__Gillisia sp007993795, 95.0, 77.95, 0.31	81.32	11	0.9904317004975225	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR8382462.bin.9.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__Lutibacter litoralis	GCA_014646675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__Lutibacter litoralis	99.38	0.96	GCA_014646675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__Lutibacter litoralis	99.38	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003384935.1, s__Lutibacter oceani, 95.0, 81.63, 0.69; GCF_900188355.1, s__Lutibacter flavus, 95.0, 80.63, 0.66; GCF_003260195.1, s__Lutibacter citreus, 95.0, 80.0, 0.59; GCF_900116115.1, s__Lutibacter maritimus, 95.0, 79.79, 0.59; GCF_900188235.1, s__Lutibacter agarilyticus, 95.0, 79.69, 0.55; GCA_004195315.1, s__Lutibacter sp004195315, 95.0, 79.42, 0.41; GCF_900106565.1, s__Lutibacter oricola, 95.0, 79.41, 0.53; GCA_013139515.1, s__Lutibacter sp013139515, 95.0, 79.29, 0.45; GCF_004121075.1, s__Lutibacter sp004121075, 95.0, 79.07, 0.49; GCA_013041805.1, s__Lutibacter sp013041805, 95.0, 79.02, 0.46; GCF_012524075.1, s__Lutibacter sp012524075, 95.0, 78.79, 0.48; GCF_001543325.1, s__Lutibacter profundi, 95.0, 78.58, 0.45; GCA_002733285.1, s__Lutibacter sp002733285, 95.0, 78.5, 0.4; GCA_002390165.1, s__Lutibacter sp002390165, 95.0, 78.0, 0.31; GCA_010906935.1, s__Lutibacter sp010906935, 95.0, 77.6, 0.29; GCA_002842505.1, s__Lutibacter sp002842505, 95.0, 77.52, 0.26; GCA_003516285.1, s__Lutibacter sp003516285, 95.0, 77.49, 0.25; GCA_001800975.1, s__Lutibacter sp001800975, 95.0, 77.45, 0.29	81.04	11	N/A	N/A
SRR8382463.bin.2.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	97.96	11	0.8447664976860688	N/A
SRR8382463.bin.3.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	ANI	N/A	GCA_009937445.1, s__UBA1847 sp009937445, 95.0, 77.44, 0.21; GCA_002338605.1, s__UBA1847 sp002338605, 95.0, 77.16, 0.15; GCA_013043165.1, s__UBA1847 sp013043165, 95.0, 77.07, 0.12; GCA_013042375.1, s__UBA1847 sp013042375, 95.0, 76.33, 0.1; GCA_004282875.1, s__UBA1847 sp004282875, 95.0, 76.31, 0.1; GCA_013001045.1, s__UBA1847 sp013001045, 95.0, 76.3, 0.13; GCA_009937605.1, s__UBA1847 sp009937605, 95.0, 76.26, 0.13; GCA_002685275.1, s__UBA1847 sp002685275, 95.0, 74.56, 0.01	43.2	11	0.9349014577583492	N/A
SRR8382463.bin.4.fa	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__4572-78;g__DUEH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011192195.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__4572-78;g__DUEH01;s__DUEH01 sp011192195	74.97	0.02	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__4572-78;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	36.81	11	0.8738150534140713	N/A
SRR8382464.bin.1.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__	N/A	N/A	N/A	N/A	N/A	GCF_009832865.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia sp009832865	79.86	0.36	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002162675.1, s__Colwellia sp002162675, 95.0, 80.21, 0.42; GCA_013215465.1, s__Colwellia sp013215465, 95.0, 79.87, 0.37; GCF_003333305.1, s__Colwellia aromaticivorans, 95.0, 79.8, 0.44; GCA_002733765.1, s__Colwellia sp002733765, 95.0, 79.77, 0.38; GCA_003521815.1, s__Colwellia sp003521815, 95.0, 79.39, 0.51; GCF_002843355.2, s__Colwellia echini, 95.0, 78.94, 0.21; GCF_002836775.1, s__Colwellia sp002836775, 95.0, 78.91, 0.27; GCF_000012325.1, s__Colwellia psychrerythraea_A, 95.0, 78.89, 0.25; GCF_007954275.1, s__Colwellia demingiae, 95.0, 78.89, 0.25; GCF_002836255.1, s__Colwellia sp002836255, 95.0, 78.83, 0.26; GCF_000764185.1, s__Colwellia psychrerythraea_B, 95.0, 78.72, 0.25; GCA_003545415.1, s__Colwellia sp003545415, 95.0, 78.71, 0.29; GCA_013214175.1, s__Colwellia sp013214175, 95.0, 78.71, 0.26; GCA_002163005.1, s__Colwellia psychrerythraea_C, 95.0, 78.7, 0.23; GCF_000378625.1, s__Colwellia piezophila, 95.0, 78.7, 0.23; GCF_005885605.1, s__Colwellia ponticola, 95.0, 78.7, 0.26; GCF_002207865.1, s__Colwellia marinimaniae, 95.0, 78.58, 0.23; GCF_000764225.1, s__Colwellia psychrerythraea_D, 95.0, 78.52, 0.25; GCF_001440345.1, s__Colwellia sp001440345, 95.0, 78.45, 0.23	95.83	11	0.9761409578327128	N/A
SRR8382464.bin.2.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__JAADID01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013151505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__JAADID01;s__JAADID01 sp013151505	76.79	0.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	50.27	11	0.9147129687511584	N/A
SRR8382465.bin.1.fa	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002299555.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA647;s__UBA647 sp002299555	76.86	0.01	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.52	11	0.8313694765658513	N/A
SRR8382466.bin.1.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	77.23	11	0.9575438072084601	N/A
